"","Disk","Score","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile"
"62","DOGFISH SSD 128GB",3315,2022-10-02,25.99,2024-04-16,27.6,"First Quantile"
"63","CT120BX100SSD1",3137,2015-04-01,67.99,2024-02-04,21.24,"Second Quantile"
"64","Colorful CN600 128GB",8732,2023-05-17,59.99,2023-09-25,59.69,"Second Quantile"
"65","KBG30ZMT128G TOSHIBA",5389,2018-03-31,38.68,2018-03-31,38.68,"First Quantile"
"66","DOGFISH SSD 120GB",2222,2021-05-23,22,2024-01-21,17,"First Quantile"
"67","HP SSD M700 120GB",3183,2019-06-21,22.99,2019-11-14,22.99,"First Quantile"
"68","SAMSUNG MZFLV128HCGR-000MV",3729,2016-09-30,26.95,2016-09-30,26.95,"First Quantile"
"69","DOGFISH SSD 64GB",1892,2023-05-26,14,2024-03-19,12.36,"First Quantile"
"70","BR 128GB",4204,2023-05-17,26,2024-02-29,37.69,"First Quantile"
"71","SanDisk X300 2.5 7MM 128GB",3130,2016-12-31,26.19,2016-12-31,26.19,"First Quantile"
"72","SAMSUNG MZ7LN128HCHP-000H1",2947,2019-03-11,43.85,2019-06-08,44.18,"Second Quantile"
"73","KINGSTON SH103S3",3587,2014-03-31,29.99,2014-03-31,29.99,"First Quantile"
"74","GIGABYTE GP-GSTFS31120GNTD",3102,2019-06-21,26.99,2022-04-21,32.25,"First Quantile"
"75","Netac SSD 120GB",2651,2021-06-02,90.5,2022-06-18,31.99,"Second Quantile"
"76","KIOXIA (Toshiba) 128GB",5466,2018-09-30,48,2018-09-30,48,"First Quantile"
"77","ADATA SU800 SSD 128GB",3221,2017-06-30,29.99,2017-06-30,29.99,"First Quantile"
"78","THNSN5128GPUK TOSHIBA",6355,2017-09-30,59.99,2017-09-30,59.99,"Second Quantile"
"79","ADATA SU700",2919,2017-12-31,22,2017-12-31,22,"First Quantile"
"80","OCZ-SOLID3",2542,2011-06-30,24.3,2011-06-30,24.3,"First Quantile"
"81","SanDisk SD9SN8W-128G-1006",3592,2019-03-31,50.52,2022-03-22,31.99,"Third Quantile"
"82","PNY CS900 120GB SSD",2911,2019-06-21,35.99,2022-02-02,32.47,"Second Quantile"
"83","TEAM L5 LITE SSD 120GB",2454,2019-06-21,24.99,2019-08-29,24.99,"First Quantile"
"84","SanDisk X600 M.2 2280 128GB",3631,2018-06-03,62.49,2019-05-31,39.52,"Second Quantile"
"85","Samsung SSD 750 EVO 120GB",3284,2017-04-06,87.95,2018-12-22,119.25,"Second Quantile"
"86","Radeon R3 SSD R3SL120G",3719,2016-06-30,39.99,2016-06-30,39.99,"Second Quantile"
"87","SATA3 64GB SSD",1756,2021-08-15,38.99,2023-05-17,18.9,"First Quantile"
"88","BC711 NVMe SK hynix 256GB",16131,2022-12-06,53.9,2024-02-09,16.41,"First Quantile"
"89","SK Hynix 256GB BC711 M.2 SSD 2280 3500MBs",14624,2022-03-31,18.89,2022-03-31,18.89,"First Quantile"
"90","Micron 2200S 256GB",13653,2023-07-17,25.5,2023-12-20,17.94,"First Quantile"
"91","IM2P33F3A ADATA 256GB",11782,2020-12-31,17,2020-12-31,17,"First Quantile"
"92","KXG60ZNV256G KIOXIA",16362,2023-01-02,37.43,2024-02-21,24.14,"First Quantile"
"93","NVMe PC SN730 NVMe WDC 256GB",14137,2021-03-31,21.72,2021-03-31,21.72,"First Quantile"
"94","KBG50ZNS256G KIOXIA 256GB",18691,2022-06-30,29.99,2022-06-30,29.99,"First Quantile"
"95","Patriot M.2 P310 240GB",14319,2022-09-13,23.99,2024-01-27,73.99,"First Quantile"
"96","NVMe NVME SSD 256GB",9797,2019-12-31,16.99,2019-12-31,16.99,"First Quantile"
"97","PM981a NVMe SED Samsung 256GB",21502,2022-06-30,37.99,2022-06-30,37.99,"First Quantile"
"98","NVMe SSD 256G",10993,2020-12-31,19.99,2020-12-31,19.99,"First Quantile"
"99","NVMe Patriot M.2 P300",13609,2021-09-30,26.6,2021-09-30,26.6,"First Quantile"
"100","NVMe PC SN530 NVMe WDC 256GB",12270,2021-03-31,23.99,2021-03-31,23.99,"First Quantile"
