"","Disk","Score","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile"
"269","Seagate ST3000DM001",1765,2011-12-25,239.99,2022-12-20,69,"Third Quantile"
"270","Seagate ST3000NM0033",1167,2018-12-20,139.95,2019-02-16,229.7,"Third Quantile"
"271","TOSHIBA DT01ACA300",1146,2014-12-20,99.99,2023-06-19,63,"Second Quantile"
"272","Hitachi HUA723030ALA640",915,2017-07-09,157.95,2021-05-14,46.98,"Third Quantile"
"273","Samsung SSD 870 EVO 4TB",8405,2021-12-21,778.99,2024-01-25,338.98,"Third Quantile"
"274","WDC WD40PURX",1063,2015-11-12,156.99,2024-05-03,54,"Third Quantile"
"275","CT4000MX500SSD1",4172,2023-03-31,219,2023-03-31,219,"Third Quantile"
"276","Seagate ST4000NM0033",1235,2016-12-31,67,2016-12-31,67,"Second Quantile"
"277","WDC WD4005FZBX",1422,2022-05-02,129.99,2022-09-21,112.49,"Second Quantile"
"278","TOSHIBA MD04ACA400",1232,2016-02-27,199.99,2019-01-10,121.27,"Third Quantile"
"279","Seagate ST4000DM000",1364,2020-03-31,59.99,2020-03-31,59.99,"Third Quantile"
"280","WDC WD30EZRX",4081,2018-12-31,51,2018-12-31,51,"First Quantile"
"281","WDC WD40EZAZ",1127,2021-12-31,66.99,2021-12-31,66.99,"Second Quantile"
"282","WDC WUS721010ALE6L4",1634,2023-03-31,100,2023-03-31,100,"Second Quantile"
