Name,URL,ReleaseDate,ReleasePrice,CurrentDate,CurrentPrice
NVMe 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+256GB,31 Aug 23,15.99,03 Apr 24,16.99
M.2 PCIE 2280 SSD 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=M.2+PCIE+2280+SSD+512GB,27 Jan 24,31.99,30 Apr 24,39.99
ADATA LEGEND 900,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+900,,,,
Corsair Force MP510 480GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+Force+MP510+480GB,19 Jul 19,69.99,17 Jul 23,56.99
GEN4 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=GEN4+1TB,15 Oct 23,49.99,15 Apr 24,69.99
CT1000T500SSD5,https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000T500SSD5,,,,
ADATA LEGEND 960,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+960,,,,
Samsung SSD 990 PRO 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+990+PRO+1TB,26 May 23,149.99,07 Sep 23,99.99
NVMe PC SN730 NVMe WD,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN730+NVMe+WD,,,,
CT1000P3PSSD8,https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000P3PSSD8,,,,
NVMe SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+SSD,20 Dec 23,29.99,19 Apr 24,47.99
Viper VP4300 2TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper+VP4300+2TB,18 Jul 23,119.99,27 Apr 24,117.99
Crucial P3 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+P3+500GB,30 Jul 23,39.99,01 Apr 24,77.99
Corsair MP600 MINI,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+MP600+MINI,,,,
Corsair MP600 CORE XT,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+MP600+CORE+XT,,,,
NVMe WD Green SN350 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+WD+Green+SN350+1TB,17 May 23,59.99,06 Feb 24,62.99
KINGSTON KC3000 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON+KC3000+1TB,,,,
Patriot M.2 P310 960GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P310+960GB,,,,
Samsung SSD 990 EVO 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+990+EVO+1TB,23 Mar 24,119.95,08 May 24,139.95
NVMe WD Blue SN570 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+WD+Blue+SN570+1TB,17 May 23,69.99,29 Feb 24,69.99
KXG60ZNV512G TOSHIBA,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G+TOSHIBA,15 May 21,123.99,19 Aug 23,42.51
INTEL SSDPEKNU512GZ,https://www.harddrivebenchmark.net/hdd.php?hdd=INTEL+SSDPEKNU512GZ,17 Jul 23,69.99,09 May 24,62.87
NVMe Samsung 980 PRO,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+Samsung+980+PRO,17 May 23,98.85,07 May 24,154.99
WDC PC SN730 SDBPNTY,https://www.harddrivebenchmark.net/hdd.php?hdd=WDC+PC+SN730+SDBPNTY,,,,
