Name,URL,ReleaseDate,ReleasePrice,CurrentDate,CurrentPrice
GIGABYTE AORUS Gen5 12000 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+AORUS+Gen5+12000+1TB,,,,
Samsung SSD 990 PRO 2TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+990+PRO+2TB,17 May 23,239.99,05 Sep 23,189.99
NVMe ADATA LEGEND 700,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+ADATA+LEGEND+700,,,,
NVMe WD BLACK SN850 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+WD+BLACK+SN850+1TB,16 Jul 22,185.39,22 Sep 23,128.99
Crucial T705 2TB Gen5 M.2,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+T705+2TB+Gen5+M.2,29 Mar 24,399.99,04 May 24,399.99
Crucial P5 Plus 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+P5+Plus+1TB,05 Apr 22,210.61,12 Apr 24,123.5
IM2P33F3 NVMe ADATA 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=IM2P33F3+NVMe+ADATA+256GB,,,,
Viper VP4300 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper+VP4300+1TB,31 Jul 22,164.99,30 Aug 23,64.99
NVMe PCIe 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PCIe+512GB,11 Feb 24,32.99,29 Apr 24,36.7
Corsair MP600 PRO,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+MP600+PRO,,,,
NVMe PC SN530 NVMe WDC 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN530+NVMe+WDC+512GB,21 Jul 23,36.74,06 Feb 24,49.95
NVMe PC SN520 NVMe WD,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN520+NVMe+WD,,,,
CT2000P3PSSD8,https://www.harddrivebenchmark.net/hdd.php?hdd=CT2000P3PSSD8,,,,
GIGABYTE AORUS Gen5 12000 SSD 2TB,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+AORUS+Gen5+12000+SSD+2TB,,,,
ADATA LEGEND 710,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+710,,,,
ADATA LEGEND 800,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+800,,,,
NVME SSD 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVME+SSD+128GB,,,,
Crucial T700 2TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+T700+2TB,19 Jun 23,339.99,29 Apr 24,339.99
SanDisk Extreme Pro 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+Extreme+Pro+1TB,06 Jun 19,369.89,29 Feb 24,425.99
GIGABYTE AG510K2TB,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+AG510K2TB,,,,
CT1000P5SSD8,https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000P5SSD8,18 Sep 23,94.49,03 Jan 24,78.42
BC711 NVMe SK hynix 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=BC711+NVMe+SK+hynix+128GB,,,,
KBG40ZNS128G NVMe KIOXIA 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNS128G+NVMe+KIOXIA+128GB,17 May 23,15.99,06 Mar 24,15.99
Intel Optane P1600X 58GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Intel+Optane+P1600X+58GB,,,,
Patriot P300 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+P300+128GB,,,,
Patriot M.2 P300 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P300+128GB,,,,
NVMe PC SN520 NVMe WD,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN520+NVMe+WD,,,,
NVME SSD 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVME+SSD+128GB,,,,
SanDisk X400 M.2 2280 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+X400+M.2+2280+128GB,26 Apr 17,114.26,17 Jul 23,17.94
Patriot Burst Elite 120GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+Burst+Elite+120GB,15 Oct 21,20.99,09 Dec 21,18.99
HP SSD EX900 120GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP+SSD+EX900+120GB,21 Jun 19,29.99,27 Feb 21,43.99
SK hynix SC311 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=SK+hynix+SC311+128GB,30 May 21,44.92,02 Nov 23,14.16
ADATA SU655,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU655,,,,
Patriot P210 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+P210+128GB,22 Oct 21,70.38,29 Mar 24,23.04
SAMSUNG SSD PM871 M.2 2280 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG+SSD+PM871+M.2+2280+128GB,,,,
ADATA SU650,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU650,,,,
Netac NVMe SSD 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Netac+NVMe+SSD+128GB,19 Jun 21,39.24,21 Aug 21,48.31
BC501 NVMe SK hynix 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=BC501+NVMe+SK+hynix+128GB,,,,
SAMSUNG MZ7TE128HMGR-000L1,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG+MZ7TE128HMGR-000L1,,,,
DOGFISH SSD 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=DOGFISH+SSD+128GB,02 Oct 22,25.99,16 Apr 24,27.6
CT120BX100SSD1,https://www.harddrivebenchmark.net/hdd.php?hdd=CT120BX100SSD1,01 Apr 15,67.99,04 Feb 24,21.24
Colorful CN600 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Colorful+CN600+128GB,17 May 23,59.99,25 Sep 23,59.69
KBG30ZMT128G TOSHIBA,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMT128G+TOSHIBA,,,,
DOGFISH SSD 120GB,https://www.harddrivebenchmark.net/hdd.php?hdd=DOGFISH+SSD+120GB,23 May 21,22,21 Jan 24,17
HP SSD M700 120GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP+SSD+M700+120GB,21 Jun 19,22.99,14 Nov 19,22.99
SAMSUNG MZFLV128HCGR-000MV,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG+MZFLV128HCGR-000MV,,,,
DOGFISH SSD 64GB,https://www.harddrivebenchmark.net/hdd.php?hdd=DOGFISH+SSD+64GB,26 May 23,14,19 Mar 24,12.36
BR 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=BR+128GB,17 May 23,26,29 Feb 24,37.69
SanDisk X300 2.5 7MM 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+X300+2.5+7MM+128GB,,,,
SAMSUNG MZ7LN128HCHP-000H1,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG+MZ7LN128HCHP-000H1,11 Mar 19,43.85,08 Jun 19,44.18
KINGSTON SH103S3,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON+SH103S3,,,,
GIGABYTE GP-GSTFS31120GNTD,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+GP-GSTFS31120GNTD,21 Jun 19,26.99,21 Apr 22,32.25
Netac SSD 120GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Netac+SSD+120GB,02 Jun 21,90.5,18 Jun 22,31.99
KIOXIA (Toshiba) 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=KIOXIA+(Toshiba)+128GB,,,,
ADATA SU800 SSD 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU800+SSD+128GB,,,,
THNSN5128GPUK TOSHIBA,https://www.harddrivebenchmark.net/hdd.php?hdd=THNSN5128GPUK+TOSHIBA,,,,
ADATA SU700,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU700,,,,
OCZ-SOLID3,https://www.harddrivebenchmark.net/hdd.php?hdd=OCZ-SOLID3,,,,
SanDisk SD9SN8W-128G-1006,https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+SD9SN8W-128G-1006,31 Mar 19,50.52,22 Mar 22,31.99
PNY CS900 120GB SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=PNY+CS900+120GB+SSD,21 Jun 19,35.99,02 Feb 22,32.47
TEAM L5 LITE SSD 120GB,https://www.harddrivebenchmark.net/hdd.php?hdd=TEAM+L5+LITE+SSD+120GB,21 Jun 19,24.99,29 Aug 19,24.99
SanDisk X600 M.2 2280 128GB,https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+X600+M.2+2280+128GB,03 Jun 18,62.49,31 May 19,39.52
Samsung SSD 750 EVO 120GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+750+EVO+120GB,06 Apr 17,87.95,22 Dec 18,119.25
Radeon R3 SSD R3SL120G,https://www.harddrivebenchmark.net/hdd.php?hdd=Radeon+R3+SSD+R3SL120G,,,,
SATA3 64GB SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=SATA3+64GB+SSD,15 Aug 21,38.99,17 May 23,18.9
BC711 NVMe SK hynix 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=BC711+NVMe+SK+hynix+256GB,06 Dec 22,53.9,09 Feb 24,16.41
SK Hynix 256GB BC711 M.2 SSD 2280 3500MBs,https://www.harddrivebenchmark.net/hdd.php?hdd=SK+Hynix+256GB+BC711+M.2+SSD+2280+3500MBs,,,,
Micron 2200S 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+2200S+256GB,17 Jul 23,25.5,20 Dec 23,17.94
IM2P33F3A ADATA 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=IM2P33F3A+ADATA+256GB,,,,
KXG60ZNV256G KIOXIA,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV256G+KIOXIA,02 Jan 23,37.43,21 Feb 24,24.14
NVMe 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+256GB,31 Aug 23,15.99,31 Mar 24,23.99
NVMe PC SN730 NVMe WDC 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN730+NVMe+WDC+256GB,,,,
KBG50ZNS256G KIOXIA 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG50ZNS256G+KIOXIA+256GB,,,,
Patriot M.2 P310 240GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P310+240GB,13 Sep 22,23.99,27 Jan 24,73.99
NVMe NVME SSD 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+NVME+SSD+256GB,,,,
PM981a NVMe SED Samsung 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=PM981a+NVMe+SED+Samsung+256GB,,,,
NVMe SSD 256G,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+SSD+256G,,,,
NVMe Patriot M.2 P300,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+Patriot+M.2+P300,,,,
NVMe PC SN530 NVMe WDC 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN530+NVMe+WDC+256GB,,,,
KBG40ZNS256G NVMe KIOXIA 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNS256G+NVMe+KIOXIA+256GB,06 Dec 22,26.99,11 Dec 23,25
BC511 NVMe SK hynix 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=BC511+NVMe+SK+hynix+256GB,24 Dec 22,37.43,03 Jan 24,19.99
KBG40ZNV256G KIOXIA,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNV256G+KIOXIA,17 May 23,21.72,23 Oct 23,32
Acer SSD FA100 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer+SSD+FA100+256GB,17 May 23,19.99,29 Feb 24,29.99
Micron 2300 NVMe 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+2300+NVMe+256GB,,,,
HP SSD EX900 250GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP+SSD+EX900+250GB,01 Aug 19,36.99,18 Dec 23,22.99
EMTEC X300 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=EMTEC+X300+256GB,,,,
BC501 NVMe SK hynix 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=BC501+NVMe+SK+hynix+256GB,30 Nov 21,45.38,02 Sep 23,30.44
WD Blue SN570 250GB,https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Blue+SN570+250GB,17 May 23,49.99,01 Mar 24,49.99
Patriot M.2 P300,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P300,,,,
XPG GAMMIX S11 Pro,https://www.harddrivebenchmark.net/hdd.php?hdd=XPG+GAMMIX+S11+Pro,,,,
GIGABYTE GP-GSM2NE3256GNTD,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+GP-GSM2NE3256GNTD,12 Jan 21,39.99,31 Jan 22,58.99
KLEVV CRAS C710 M.2 NVMe SSD 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=KLEVV+CRAS+C710+M.2+NVMe+SSD+256GB,,,,
HP SSD EX920 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP+SSD+EX920+256GB,21 Jun 19,46.99,01 Mar 24,39.9
PLEXTOR PX-256M9PeGN,https://www.harddrivebenchmark.net/hdd.php?hdd=PLEXTOR+PX-256M9PeGN,21 Jun 19,49.99,13 Oct 19,35.99
MSI M390 250GB,https://www.harddrivebenchmark.net/hdd.php?hdd=MSI+M390+250GB,,,,
IM2P33F3 NVMe ADATA 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=IM2P33F3+NVMe+ADATA+256GB,,,,
XPG GAMMIX S5,https://www.harddrivebenchmark.net/hdd.php?hdd=XPG+GAMMIX+S5,,,,
PLEXTOR PX-256M9PeG,https://www.harddrivebenchmark.net/hdd.php?hdd=PLEXTOR+PX-256M9PeG,19 Jul 19,51.99,17 Sep 19,42.99
Inland NVMe SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=Inland+NVMe+SSD,,,,
Samsung SSD 970 EVO Plus 250GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+970+EVO+Plus+250GB,,,,
Patriot P300 256GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+P300+256GB,09 Aug 20,37.99,07 Jan 21,37.99
WDC WDS240G2G0C,https://www.harddrivebenchmark.net/hdd.php?hdd=WDC+WDS240G2G0C,,,,
KBG30ZMV256G TOSHIBA,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMV256G+TOSHIBA,24 Feb 24,27.49,06 Apr 24,28.74
TOSHIBA THNSNH256GBST,https://www.harddrivebenchmark.net/hdd.php?hdd=TOSHIBA+THNSNH256GBST,13 May 21,91,31 Oct 23,18.89
KBG30ZMV256G KIOXIA,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMV256G+KIOXIA,16 Jan 23,62.99,19 Jun 23,33.06
M Series NVMe SSD 256G,https://www.harddrivebenchmark.net/hdd.php?hdd=M+Series+NVMe+SSD+256G,,,,
CT250P5SSD8,https://www.harddrivebenchmark.net/hdd.php?hdd=CT250P5SSD8,,,,
Samsung SSD 970 EVO 250GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+970+EVO+250GB,14 May 18,109.99,16 Aug 23,38.4
NVMe TS256GMTE110S,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+TS256GMTE110S,02 Mar 24,34.01,19 Apr 24,39.99
Micron 2300 MTFDHBA512TDV,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+2300+MTFDHBA512TDV,,,,
SK Hynix 512GB M.2 BC711 80mm SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=SK+Hynix+512GB+M.2+BC711+80mm+SSD,29 Jul 23,33.06,18 Oct 23,28.34
SK hynix BC711 HFM512GD3JX013N,https://www.harddrivebenchmark.net/hdd.php?hdd=SK+hynix+BC711+HFM512GD3JX013N,28 Jul 23,33.06,18 Oct 23,28.34
WD Blue SN580 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Blue+SN580+500GB,,,,
SK hynix HFM512GD3JX013N,https://www.harddrivebenchmark.net/hdd.php?hdd=SK+hynix+HFM512GD3JX013N,,,,
NVMe PC SN810 NVMe WDC 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN810+NVMe+WDC+512GB,,,,
Micron MTFDHBA512TCK,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+MTFDHBA512TCK,13 May 21,99.99,22 Sep 23,31.49
NVMe WD Blue SN570 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+WD+Blue+SN570+500GB,26 May 23,49.99,07 Sep 23,43.04
Micron 2200S NVMe 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+2200S+NVMe+512GB,17 Jul 23,34.01,18 Oct 23,27.39
Predator GM7000 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Predator+GM7000+512GB,,,,
HFM512GD3JX016N,https://www.harddrivebenchmark.net/hdd.php?hdd=HFM512GD3JX016N,17 Sep 23,37.79,25 Oct 23,35.9
Crucial P3 Plus 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+P3+Plus+500GB,17 May 23,35.99,17 Jul 23,39.99
M.2 PCIE 2280 SSD 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=M.2+PCIE+2280+SSD+512GB,27 Jan 24,31.99,30 Apr 24,39.99
WD Blue SN570 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Blue+SN570+500GB,,,,
Patriot M.2 P400 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P400+512GB,17 Jul 23,49.88,14 Oct 23,59.99
Corsair Force MP510 480GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+Force+MP510+480GB,19 Jul 19,69.99,17 Jul 23,56.99
KBG40ZNV512G KIOXIA,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNV512G+KIOXIA,17 Jul 23,34.95,17 Oct 23,31.49
KXG60ZNV512G KIOXIA,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G+KIOXIA,11 Aug 23,47.24,17 Oct 23,41.99
MSI M450 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=MSI+M450+500GB,17 May 23,29.99,05 Mar 24,45.99
NVMe PC SN740 NVMe WD 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN740+NVMe+WD+512GB,,,,
WD Red SN700 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Red+SN700+500GB,18 Jul 23,122.99,27 Nov 23,86.11
KINGSTON KC3000 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON+KC3000+512GB,17 Jul 23,105.99,06 Mar 24,79.99
Micron 2210 MTFDHBA512QFD,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+2210+MTFDHBA512QFD,07 Sep 21,143.75,17 Sep 23,33.06
CT500T500SSD8,https://www.harddrivebenchmark.net/hdd.php?hdd=CT500T500SSD8,,,,
HP SSD EX900 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=HP+SSD+EX900+500GB,21 Jun 19,63.99,14 Jan 24,42.99
MSI M371 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=MSI+M371+500GB,,,,
NVMe PM9B1 NVMe Samsung 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PM9B1+NVMe+Samsung+512GB,,,,
Viper M.2 VPN110 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper+M.2+VPN110+512GB,17 Jul 23,51.96,12 Nov 23,54.83
SSDPEMKF512G8 NVMe INTEL 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=SSDPEMKF512G8+NVMe+INTEL+512GB,,,,
WDC WDS480G2G0C,https://www.harddrivebenchmark.net/hdd.php?hdd=WDC+WDS480G2G0C,,,,
NVMe PC SN730 NVMe WDC 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN730+NVMe+WDC+512GB,,,,
Samsung SSD 980 PRO 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+980+PRO+500GB,17 Oct 20,149.99,01 Aug 23,79.99
NVMe PNY CS3030 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PNY+CS3030+500GB,,,,
NVMe PC SN730 NVMe WD,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN730+NVMe+WD,,,,
ADATA SX8200PNP,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX8200PNP,,,,
Acer SSD FA100 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer+SSD+FA100+512GB,17 Jul 23,27.99,22 Apr 24,45.99
Patriot M.2 P310 480GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P310+480GB,31 Dec 22,29.99,23 Nov 23,41.99
Crucial P5 Plus 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+P5+Plus+500GB,17 Nov 21,138,29 Feb 24,103.99
NVMe SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+SSD,20 Dec 23,29.99,05 May 24,47.98
NVMe WDC WDS500G2B0C,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+WDC+WDS500G2B0C,17 May 23,59.85,24 Nov 23,68.99
INTEL SSDPEKNW512G8H,https://www.harddrivebenchmark.net/hdd.php?hdd=INTEL+SSDPEKNW512G8H,17 Jul 23,39.68,18 Oct 23,28.34
Force MP600,https://www.harddrivebenchmark.net/hdd.php?hdd=Force+MP600,,,,
Seagate FireCuda,https://www.harddrivebenchmark.net/hdd.php?hdd=Seagate+FireCuda,,,,
Crucial P3 500GB,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+P3+500GB,30 Jul 23,39.99,02 Apr 24,77.99
NVMe Sabrent Rocket 4,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+Sabrent+Rocket+4,,,,
EMTEC X300 512GB,https://www.harddrivebenchmark.net/hdd.php?hdd=EMTEC+X300+512GB,,,,
KXG60ZNV512G TOSHIBA,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G+TOSHIBA,15 May 21,123.99,19 Aug 23,42.51
WD Blue SN580 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Blue+SN580+1TB,,,,
ADATA LEGEND 900,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+900,,,,
Predator SSD GM7000 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=Predator+SSD+GM7000+1TB,08 Dec 22,104.99,29 Feb 24,77.99
MSI M460 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=MSI+M460+1TB,,,,
GEN4 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=GEN4+1TB,15 Oct 23,49.99,31 Mar 24,64.99
WDC PC SN810 SDCPNRY 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=WDC+PC+SN810+SDCPNRY+1TB,,,,
ADATA LEGEND 740,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+740,,,,
CT1000T500SSD8,https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000T500SSD8,,,,
CT1000T705SSD3,https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000T705SSD3,,,,
CT1000T500SSD5,https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000T500SSD5,,,,
ADATA LEGEND 960,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+960,,,,
KXG60ZNV1T02 KIOXIA,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV1T02+KIOXIA,,,,
WD Green SN350 1TB,https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Green+SN350+1TB,,,,
