Name,Link,ReleaseDate,ReleasePrice,CurrentDate,CurrentPrice
GeForce RTX 3060 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+Ti&id=4318,03 Dec 20,439.99,12 Mar 24,390.71
TITAN RTX,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+RTX&id=4029,28 Dec 18,"2,499.99",26 Aug 23,"2,423.14"
RTX A4000,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4000&id=4394,28 Aug 21,"1,186.99",28 Jan 23,930.99
Radeon RX 6750 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6750+XT&id=4543,14 May 22,579.99,07 Feb 24,369.99
Quadro RTX 6000,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+6000&id=4015,,,,
Quadro RTX 8000,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+8000&id=4061,,,,
Radeon RX 6700 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700+XT&id=4369,18 Apr 21,779.99,29 Dec 23,523.67
NVIDIA TITAN Xp,https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+TITAN+Xp&id=3728,06 Apr 17,"1,200",25 May 21,"1,790"
GeForce GTX 1080 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080+Ti&id=3699,15 Mar 17,879,26 May 22,483.82
TITAN V,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+V&id=3859,27 Mar 18,"3,629",20 Nov 21,"1,999.99"
TITAN Xp COLLECTORS EDITION,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+Xp+COLLECTORS+EDITION&id=3863,,,,
Radeon RX 7900M,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900M&id=4946,,,,
GeForce RTX 4060,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060&id=4850,05 Jul 23,389.99,19 Feb 24,294.76
RTX 5000 Ada Generation Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+5000+Ada+Generation+Laptop+GPU&id=4807,,,,
Quadro GV100,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+GV100&id=3919,,,,
RTX 4000 Ada Generation Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4000+Ada+Generation+Laptop+GPU&id=4819,,,,
NVIDIA TITAN X,https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+TITAN+X&id=3554,,,,
Radeon RX 7600 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600+XT&id=4982,,,,
NVIDIA A40,https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+A40&id=4551,,,,
GeForce RTX 3080 Ti Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Ti+Laptop+GPU&id=4491,,,,
Radeon RX 7600,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600&id=4832,24 Jun 23,257.99,18 Mar 24,269.99
Radeon RX 6700,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700&id=4564,,,,
Quadro P6000,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P6000&id=3597,18 Nov 16,"6,999",13 May 21,"3,250"
GeForce RTX 3060 12GB,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+12GB&id=4345,25 Feb 21,329,25 Oct 23,254.99
TITAN RTX,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+RTX&id=4029,28 Dec 18,"2,499.99",26 Aug 23,"2,423.14"
Radeon PRO W7600,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7600&id=4889,,,,
GeForce RTX 2080 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+SUPER&id=4123,23 Jul 19,699,19 Nov 22,740.99
GeForce RTX 3060 8GB,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+8GB&id=4966,,,,
GeForce RTX 4070 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Laptop+GPU&id=4756,,,,
GeForce RTX 2080,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080&id=3989,27 Sep 18,839.99,24 Jun 23,800.61
Radeon RX 6650 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6650+XT&id=4541,27 May 22,399.99,15 Feb 24,314.93
Radeon RX 6600 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600+XT&id=4444,01 Sep 21,777.9,02 Dec 23,349.99
Radeon RX 5700 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT&id=4111,13 Jul 19,399.99,16 Jan 24,506.64
Radeon RX 5700 XT 50th Anniversary,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT+50th+Anniversary&id=4114,,,,
GeForce RTX 2070 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+SUPER&id=4116,09 Jul 19,499,26 May 23,497.95
GeForce RTX 3070 Ti Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070+Ti+Laptop+GPU&id=4497,,,,
Radeon PRO W6600,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W6600&id=4445,,,,
Radeon VII,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+VII&id=4050,,,,
GeForce GTX 1080,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080&id=3502,,,,
RTX A5500 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5500+Laptop+GPU&id=4562,,,,
Radeon Pro Vega II,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Vega+II&id=4189,,,,
GeForce RTX 3080 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Laptop+GPU&id=4332,,,,
Quadro GP100,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+GP100&id=3721,,,,
RTX 3500 Ada Generation Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+3500+Ada+Generation+Laptop+GPU&id=4800,,,,
GeForce GTX 1070 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070+Ti&id=3842,,,,
RTX A5000 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5000+Laptop+GPU&id=4416,,,,
Quadro RTX 5000,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+5000&id=4040,,,,
RTX A4500 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4500+Laptop+GPU&id=4565,,,,
Radeon VII,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+VII&id=4050,,,,
GeForce RTX 3070 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070+Laptop+GPU&id=4331,,,,
Radeon RX 6600,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600&id=4465,,,,
Radeon Pro W5700,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+W5700&id=4182,,,,
GeForce RTX 2060 12GB,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+12GB&id=4602,,,,
GeForce RTX 2060 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+SUPER&id=4117,,,,
Radeon RX 6850M XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6850M+XT&id=4574,,,,
Intel Arc A770,https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Arc+A770&id=4605,,,,
RTX A4000 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4000+Laptop+GPU&id=4421,,,,
Radeon RX 5700,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700&id=4107,,,,
GeForce RTX 4060 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060+Laptop+GPU&id=4752,,,,
RTX A2000 12GB,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A2000+12GB&id=4533,,,,
GeForce RTX 3050,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3050&id=4495,,,,
Radeon RX 5600 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600+XT&id=4186,,,,
RTX A2000,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A2000&id=4477,,,,
GeForce RTX 2070,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070&id=4001,,,,
Radeon Pro VII,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+VII&id=4306,,,,
GeForce RTX 2080 (Mobile),https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+%28Mobile%29&id=4084,,,,
Quadro P5000,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5000&id=3607,,,,
Radeon RX Vega 64,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+64&id=3808,,,,
