"Name","Score","Link","G2DScore","G3DScore"
"Radeon RX 5500M","2,227","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5500M&id=4193","408","5495"
"Radeon R9 270X","2,224","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+270X&id=2702","612","4890"
"FirePro S7000","2,224","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+S7000&id=2804","705","4524"
"Radeon R9 370","2,206","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+370&id=3469","781","4722"
"Radeon Ryzen 7 Pro 7735U","2,200","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+Pro+7735U&id=4977","662","4538"
"Radeon Ryzen 5 6600HS Creator Edition","2,192","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+6600HS+Creator+Edition&id=4681","739","3760"
"Radeon RX 6300","2,190","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6300&id=4939","607","5741"
"Radeon PRO W6300","2,189","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W6300&id=4831","617","5898"
"Radeon Sky 500","2,189","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Sky+500&id=4071","551","4764"
"Radeon Pro WX 5100","2,178","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+5100&id=3619","769","5567"
"Radeon Pro Vega 20","2,175","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Vega+20&id=4016","558","5300"
"GeForce GTX 1050 Ti (Mobile)","2,172","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050+Ti+%28Mobile%29&id=4089","323","5919"
"GeForce GTX 760","2,165","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+760&id=2561","527","4794"
"FirePro W8000","2,160","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+W8000&id=2427","464","4096"
"FirePro W9000","2,153","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+W9000&id=2281","720","6138"
"GeForce GTX 965M","2,131","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+965M&id=3113","338","3786"
"GeForce GTX 1050 Ti with Max-Q Design","2,131","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050+Ti+with+Max-Q+Design&id=3922","354","5377"
"GeForce GTX 870M","2,124","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+870M&id=2833","276","3450"
"Quadro M3000M","2,114","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M3000M&id=3394","401","5526"
"GeForce GTX 1630","2,111","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1630&id=4571","658","4994"
"Radeon HD 7870","2,110","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7870&id=324","588","4640"
"Radeon Ryzen 9 7900X 12-Core","2,093","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+9+7900X+12-Core&id=4659","587","2632"
"GeForce GTX 1050","2,091","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050&id=3596","463","5046"
"Radeon Instinct MI25 MxGPU","2,082","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Instinct+MI25+MxGPU&id=4181","371","4979"
"Quadro K5100M","2,072","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K5100M&id=2798","366","3072"
"Radeon Ryzen 7 6800U","2,070","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+6800U&id=4648","583","4571"
"FirePro W7000 Adapter","2,069","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+W7000+Adapter&id=2647","613","4359"
"P106-100","2,059","https://www.videocardbenchmark.net/gpu.php?gpu=P106-100&id=4044","258","6399"
"Radeon R9 M295X","2,057","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+M295X&id=2985","832","5150"
"GeForce GTX 480","2,046","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+480&id=100","445","4107"
"Radeon HD8970M","2,032","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD8970M&id=3023","663","3369"
"GeForce GTX 960A","2,014","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+960A&id=3404","631","2411"
"Radeon RX Vega 11 PRD","2,013","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+11+PRD&id=4131","601","2402"
"Radeon R7 370","1,993","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+370&id=3471","605","4520"
"Radeon Pro WX 3100","1,978","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+3100&id=3783","427","2548"
"GeForce GTX 680MX","1,970","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+680MX&id=2356","589","4142"
"GRID K520","1,940","https://www.videocardbenchmark.net/gpu.php?gpu=GRID+K520&id=2742","160","3516"
"FirePro W7000","1,938","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+W7000&id=2232","546","4288"
"GeForce GTX 580","1,897","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+580&id=68","478","4566"
"FirePro W7100","1,896","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+W7100&id=3130","683","5314"
"Radeon HD 8970M","1,892","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8970M&id=2865","807","3876"
"FirePro V7000","1,889","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+V7000&id=2675","668","3162"
"GeForce MX450","1,886","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+MX450&id=4296","303","3736"
"T500","1,879","https://www.videocardbenchmark.net/gpu.php?gpu=T500&id=4335","304","3700"
"GeForce GTX 675MX","1,876","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+675MX&id=2349","382","2745"
"Quadro P1000","1,876","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P1000&id=3727","599","4454"
"Quadro P600","1,857","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P600&id=3729","480","3273"
"Radeon Pro 560X","1,851","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+560X&id=4021","711","3678"
"Quadro M2200","1,841","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M2200&id=3732","380","4257"
"Quadro M2000M","1,841","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M2000M&id=3373","337","3456"
"Quadro M2000","1,828","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M2000&id=3512","564","3983"
"Radeon Pro WX 4130","1,825","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+4130&id=3798","344","1967"
"GeForce GTX 660","1,820","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+660&id=2152","478","4000"
"Radeon Pro 460","1,816","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+460&id=3747","679","3453"
"GeForce GTX 1050 (Mobile)","1,816","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050+%28Mobile%29&id=4088","292","4462"
"Radeon HD 8950","1,810","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8950&id=2927","367","2733"
"Ryzen 5 6600HS Creator Edition","1,809","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+6600HS+Creator+Edition&id=4628","718","3671"
"Radeon 740M","1,801","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+740M&id=4926","781","3493"
"Radeon HD 7800-serie","1,795","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7800-serie&id=2967","708","4029"
"Quadro K4200","1,795","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K4200&id=2944","507","4320"
"GeForce GTX 680M","1,782","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+680M&id=1461","338","3216"
"Radeon Pro 560","1,776","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+560&id=3820","724","3475"
"Radeon R9 270","1,776","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+270&id=3550","567","4306"
"GeForce GTX 780M","1,767","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+780M&id=2536","425","3840"
"GeForce GTX 750 Ti","1,762","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750+Ti&id=2815","512","3904"
"Radeon R9 M395","1,752","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+M395&id=3346","731","4949"
"Intel Graphics","1,750","https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Graphics&id=5074","589","3121"
"Radeon Ryzen 5 PRO 6650U","1,743","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+PRO+6650U&id=4677","714","3678"
"Ryzen 5 PRO 6650U with Radeon Graphics","1,740","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+PRO+6650U+with+Radeon+Graphics&id=4581","714","3515"
"Radeon RX 5300M","1,735","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5300M&id=4325","367","4307"
"Radeon Eng Sample: 100-000000561-40_Y","1,734","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Eng+Sample%3A+100-000000561-40_Y&id=4936","745","4042"
"Quadro K5000","1,732","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K5000&id=2258","430","3987"
"Radeon R9 260","1,727","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+260&id=3496","586","3182"
"Ryzen 5 PRO 6650U","1,726","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+PRO+6650U&id=4638","766","3519"
"Ryzen 9 5900HX with Radeon Graphics","1,716","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+9+5900HX+with+Radeon+Graphics&id=4396","736","2892"
"Radeon E8870PCIe","1,708","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+E8870PCIe&id=3831","708","3368"
"Quadro M1200","1,703","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M1200&id=3651","319","3236"
"Radeon RX 460","1,697","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+460&id=3557","574","4103"
"Matrox C680 PCIe x16","1,693","https://www.videocardbenchmark.net/gpu.php?gpu=Matrox+C680+PCIe+x16&id=3054","700","1904"
"Radeon Ryzen 7 4800HS","1,688","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+4800HS&id=4362","531","4106"
"Radeon HD 7850","1,683","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7850&id=323","561","3860"
"Ryzen 7 5700G with Radeon Graphics","1,678","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+5700G+with+Radeon+Graphics&id=4405","802","2796"
"GRID K220Q","1,677","https://www.videocardbenchmark.net/gpu.php?gpu=GRID+K220Q&id=3140","539","912"
"Radeon Ryzen 7 4800H","1,649","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+4800H&id=4348","514","3585"
"FirePro M5100","1,643","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+M5100&id=2818","800","2103"
"Radeon Ryzen 7 4700G","1,637","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+4700G&id=4357","699","2586"
"Ryzen 7 5700GE with Radeon Graphics","1,631","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+5700GE+with+Radeon+Graphics&id=4433","855","2702"
"Ryzen 7 Pro 4750G with Radeon Graphics","1,629","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+Pro+4750G+with+Radeon+Graphics&id=4231","703","2682"
"GeForce GTX 775M","1,627","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+775M&id=2729","555","3594"
"Ryzen 7 5800H with Radeon Graphics","1,626","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+5800H+with+Radeon+Graphics&id=4398","722","2740"
"Radeon Ryzen 5 6600U","1,625","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+6600U&id=4675","702","3395"
"FirePro V9800","1,618","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+V9800&id=3423","655","2727"
"Radeon Ryzen 7 PRO 4750G","1,605","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+PRO+4750G&id=4347","690","2598"
"GeForce GTX 880M","1,604","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+880M&id=2850","334","3804"
"GeForce GTX 870M","1,600","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+870M&id=2833","276","3450"
"GeForce GTX 965M","1,598","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+965M&id=3113","338","3786"
"Quadro K5100M","1,591","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K5100M&id=2798","366","3072"
"Quadro K2200","1,587","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K2200&id=2947","545","3550"
"Radeon HD 7970M","1,585","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7970M&id=326","506","3529"
"Radeon Ryzen 7 4700GE","1,585","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+4700GE&id=4387","661","2610"
"GeForce GTX 1050 with Max-Q Design","1,583","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050+with+Max-Q+Design&id=3971","289","4070"
"Ryzen 7 PRO 5750G with Radeon Graphics","1,581","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+PRO+5750G+with+Radeon+Graphics&id=4427","817","2449"
"GeForce GTX 750","1,575","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750&id=2825","505","3351"
"Radeon R9 M375X","1,575","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+M375X&id=3337","310","1728"
"Quadro K4100M","1,575","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K4100M&id=2736","325","2754"
"Ryzen 7 PRO 5750GE with Radeon Graphics","1,573","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+PRO+5750GE+with+Radeon+Graphics&id=4432","792","2515"
"Radeon Ryzen 7 5800H","1,572","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+5800H&id=4452","708","2822"
"Radeon HD 7790","1,571","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7790&id=2502","459","3090"
"Quadro P620","1,566","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P620&id=3954","558","3632"
"P104-100","1,561","https://www.videocardbenchmark.net/gpu.php?gpu=P104-100&id=4206","124","3743"
"GeForce GTX 650 Ti BOOST","1,555","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+650+Ti+BOOST&id=2479","460","3338"
"Radeon Pro WX 2100","1,554","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+2100&id=3794","396","1828"
"Quadro M1000M","1,544","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M1000M&id=3349","313","2869"
"Radeon Pro WX 4100","1,541","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+4100&id=3694","642","3636"
"MxGPU","1,541","https://www.videocardbenchmark.net/gpu.php?gpu=MxGPU&id=3640","479","1826"
"Quadro 7000","1,537","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+7000&id=1555","397","3505"
"Ryzen 7 PRO 7730U with Radeon Graphics","1,537","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+PRO+7730U+with+Radeon+Graphics&id=4873","644","2549"
"GeForce GTX 580","1,531","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+580&id=68","478","4566"
"T400","1,531","https://www.videocardbenchmark.net/gpu.php?gpu=T400&id=4446","589","3631"
"Ryzen 7 5800HS with Radeon Graphics","1,525","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+5800HS+with+Radeon+Graphics&id=4401","589","2917"
"T400 4GB","1,522","https://www.videocardbenchmark.net/gpu.php?gpu=T400+4GB&id=4512","641","3706"
"GeForce GTX 860M","1,520","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+860M&id=2866","225","3037"
"Radeon Ryzen 5 7535U","1,512","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+7535U&id=4837","671","3495"
"Ryzen 7 4700G with Radeon Graphics","1,500","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+4700G+with+Radeon+Graphics&id=4307","671","2187"
"Firepro W5170M","1,495","https://www.videocardbenchmark.net/gpu.php?gpu=Firepro+W5170M&id=3470","368","1761"
"Ryzen 5 5600GE with Radeon Graphics","1,491","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+5600GE+with+Radeon+Graphics&id=4435","886","2602"
"Ryzen 7 PRO 4750GE with Radeon Graphics","1,488","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+PRO+4750GE+with+Radeon+Graphics&id=4288","683","2550"
"Radeon Ryzen 7 5800HS","1,485","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+5800HS&id=4462","634","2507"
"Radeon RX 560","1,481","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+560&id=3708","493","3647"
"Ryzen 5 5600G with Radeon Graphics","1,480","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+5600G+with+Radeon+Graphics&id=4406","768","2585"
"Quadro M2000M","1,477","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M2000M&id=3373","337","3456"
"Intel Iris Pro P580","1,475","https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Iris+Pro+P580&id=3436","509","2231"
"Radeon Ryzen 7 PRO 4750GE","1,473","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+PRO+4750GE&id=4371","624","2326"
"B8DKMDAP","1,472","https://www.videocardbenchmark.net/gpu.php?gpu=B8DKMDAP&id=3941","534","4557"
"GeForce GTX 680M","1,471","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+680M&id=1461","338","3216"
"GeForce 8800 GTX","1,471","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+8800+GTX&id=119","98","590"
"Quadro K2200M","1,466","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K2200M&id=3175","384","3469"
"Ryzen 5 PRO 5650G with Radeon Graphics","1,462","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+PRO+5650G+with+Radeon+Graphics&id=4428","856","2501"
"GeForce GTX 750","1,454","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750&id=2825","505","3351"
"Radeon Ryzen 5 5500GT","1,448","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+5500GT&id=4994","772","2759"
"Radeon R7 260X","1,447","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+260X&id=2701","522","3186"
"Ryzen 5 PRO 5650GE with Radeon Graphics","1,438","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+PRO+5650GE+with+Radeon+Graphics&id=4431","824","2436"
"Tesla C2070","1,437","https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2070&id=1670","471","2840"
"GeForce GTX 960M","1,436","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+960M&id=3176","246","3394"
"Ryzen 7 5825U with Radeon Graphics","1,430","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+5825U+with+Radeon+Graphics&id=4869","640","2343"
"FirePro 3D V8800","1,427","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V8800&id=442","632","2438"
"Radeon Pro 455","1,418","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+455&id=4024","705","3113"
"GeForce GTX 570","1,412","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+570&id=15","475","3928"
"Ryzen 7 7730U with Radeon Graphics","1,406","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+7730U+with+Radeon+Graphics&id=4876","610","2470"
"Quadro K5000M","1,404","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+K5000M&id=1618","350","2752"
"Radeon Ryzen 5 PRO 5650G","1,402","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+PRO+5650G&id=4485","748","2302"
"NVIDIA A10-4Q","1,399","https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+A10-4Q&id=4521","231","3425"
"Radeon RX Vega 11 Ryzen 5 3400G","1,399","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+11+Ryzen+5+3400G&id=4671","496","2177"
"GeForce 8800 GTS 512","1,398","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+8800+GTS+512&id=63","77","568"
"Radeon Ryzen 5 5600GT","1,393","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+5600GT&id=4989","742","2740"
"Radeon RX Vega 11","1,388","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+11&id=3893","526","2120"
"Ryzen 5 Pro 4650G with Radeon Graphics","1,387","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+Pro+4650G+with+Radeon+Graphics&id=4229","672","2397"
"Ryzen 7 5800U with Radeon Graphics","1,386","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+5800U+with+Radeon+Graphics&id=4399","674","2362"
"GeForce GTX 590","1,384","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+590&id=1457","394","3341"
"Radeon Pro 555","1,383","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+555&id=3763","659","3141"
"Quadro P600","1,382","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P600&id=3729","480","3273"
"Radeon Ryzen 5 Pro 7535U","1,381","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+Pro+7535U&id=4978","691","3092"
"Radeon Ryzen 9 4900H","1,376","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+9+4900H&id=4361","660","2549"
"FirePro 3D V9800","1,375","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V9800&id=443","556","2812"
"Radeon Ryzen 7 5825U","1,374","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+5825U&id=4668","603","2380"
"Ryzen 5 4600G with Radeon Graphics","1,373","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+4600G+with+Radeon+Graphics&id=4245","624","2377"
"Radeon Eng Sample: 100-000000285-40_Y","1,373","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Eng+Sample%3A+100-000000285-40_Y&id=4633","658","2405"
"Quadro M1200","1,373","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M1200&id=3651","319","3236"
"Tesla C2050","1,373","https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2050&id=1669","362","3176"
"Radeon Ryzen 7 PRO 7730U","1,371","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+PRO+7730U&id=4778","605","2336"
"Radeon R9 M275X / M375","1,370","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+M275X+%2F+M375&id=3035","467","1575"
"Radeon Ryzen 9 7900 12-Core","1,367","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+9+7900+12-Core&id=4716","573","2402"
"Intel Iris Xe","1,362","https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Iris+Xe&id=4265","357","2683"
"Radeon R7 260","1,361","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+260&id=2903","559","2892"
"Radeon Ryzen 7 5800U","1,360","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+5800U&id=4464","655","2397"
"Radeon Ryzen 5 PRO 5650GE","1,354","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+PRO+5650GE&id=4463","758","2307"
"GRID P40-24Q","1,354","https://www.videocardbenchmark.net/gpu.php?gpu=GRID+P40-24Q&id=3993","479","8719"
"Tesla C2050 / C2070","1,351","https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2050+%2F+C2070&id=2515","568","3428"
"Intel Iris Xe MAX","1,348","https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Iris+Xe+MAX&id=4502","311","1972"
"Radeon Ryzen 7 7730U","1,345","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+7+7730U&id=4771","618","2465"
"GeForce GTX 960M","1,345","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+960M&id=3176","246","3394"
"GRID T4-8Q","1,344","https://www.videocardbenchmark.net/gpu.php?gpu=GRID+T4-8Q&id=4196","186","4519"
"Radeon R9 M290X","1,340","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+M290X&id=2918","426","3263"
"Radeon Vega 11 Ryzen 5 PRO 3350G","1,338","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Vega+11+Ryzen+5+PRO+3350G&id=4770","516","2363"
"Ryzen 7 PRO 5850U with Radeon Graphics","1,333","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+7+PRO+5850U+with+Radeon+Graphics&id=4403","650","2270"
"Radeon Ryzen 5 5600H","1,331","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+5600H&id=4459","643","2411"
"Radeon R9 360","1,329","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+360&id=3327","460","3032"
"Tesla C2075","1,327","https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2075&id=1671","428","3017"
"GeForce GTX 650 Ti","1,324","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+650+Ti&id=2177","409","2523"
"Radeon Ryzen 5 PRO 4655G","1,324","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Ryzen+5+PRO+4655G&id=4815","710","2376"
"FirePro W5000","1,321","https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+W5000&id=2227","568","2977"
"Radeon RX Vega 11 Ryzen 5 3350G","1,319","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+11+Ryzen+5+3350G&id=4745","474","1797"
"Radeon RX Vega M GL","1,307","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+M+GL&id=3903","481","3632"
"NVS 810","1,304","https://www.videocardbenchmark.net/gpu.php?gpu=NVS+810&id=3428","297","1179"
"Matrox C900 PCIe x16","1,302","https://www.videocardbenchmark.net/gpu.php?gpu=Matrox+C900+PCIe+x16&id=3579","761","1812"
"GeForce GTX 850M","1,301","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+850M&id=2859","225","2512"
"Radeon R7 360","1,297","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+360&id=3233","514","3094"
"Radeon HD 7700-serie","1,296","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7700-serie&id=2317","533","1899"
"Ryzen 5 PRO 4650GE with Radeon Graphics","1,294","https://www.videocardbenchmark.net/gpu.php?gpu=Ryzen+5+PRO+4650GE+with+Radeon+Graphics&id=4289","618","2094"
"GRID K2","1,293","https://www.videocardbenchmark.net/gpu.php?gpu=GRID+K2&id=2616","319","2737"
"Radeon Vega 11 Ryzen 5 PRO 3400G","1,289","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Vega+11+Ryzen+5+PRO+3400G&id=4724","458","1962"
"GeForce GTX 950M","1,288","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+950M&id=3171","216","2585"
