"Name","Score","Link","G2DScore","G3DScore"
"Quadro RTX 6000","9,947","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+6000&id=4015","795","18780"
"Quadro RTX 8000","9,890","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+8000&id=4061","871","19480"
"Radeon RX 6700 XT","9,780","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700+XT&id=4369","939","19881"
"GeForce GTX 1080 Ti","9,726","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080+Ti&id=3699","937","18562"
"TITAN Xp COLLECTORS EDITION","9,632","https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+Xp+COLLECTORS+EDITION&id=3863","926","19049"
"TITAN V","9,606","https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+V&id=3859","862","19743"
"Radeon RX 7900M","9,601","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900M&id=4946","903","22033"
"RTX 5000 Ada Generation Laptop GPU","9,547","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+5000+Ada+Generation+Laptop+GPU&id=4807","708","24263"
"NVIDIA TITAN Xp","9,524","https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+TITAN+Xp&id=3728","886","18490"
"GeForce RTX 4060","9,365","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060&id=4850","1011","19564"
"Radeon RX 7600 XT","9,270","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600+XT&id=4982","999","17441"
"RTX 4000 Ada Generation Laptop GPU","9,249","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4000+Ada+Generation+Laptop+GPU&id=4819","744","23465"
"NVIDIA TITAN X","9,224","https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+TITAN+X&id=3554","912","13660"
"Quadro GV100","9,119","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+GV100&id=3919","848","19824"
"NVIDIA A40","9,014","https://www.videocardbenchmark.net/gpu.php?gpu=NVIDIA+A40&id=4551","627","14665"
"Radeon RX 7600","8,834","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600&id=4832","960","16298"
"GeForce RTX 3080 Ti Laptop GPU","8,777","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Ti+Laptop+GPU&id=4491","841","19905"
"Quadro P6000","8,692","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P6000&id=3597","706","15133"
"GeForce RTX 3060 12GB","8,638","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+12GB&id=4345","966","17049"
"Radeon RX 6700","8,595","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700&id=4564","931","19085"
"TITAN RTX","8,579","https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+RTX&id=4029","828","20095"
"GeForce RTX 2080 SUPER","8,514","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+SUPER&id=4123","924","19581"
"Radeon PRO W7600","8,447","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7600&id=4889","1192","17905"
"RTX 2000 Ada Generation","8,382","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+2000+Ada+Generation&id=5014","1139","17474"
"GeForce RTX 4070 Laptop GPU","8,373","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Laptop+GPU&id=4756","782","19662"
"GeForce RTX 3060 8GB","8,356","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+8GB&id=4966","970","15388"
"GeForce RTX 2080","8,098","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080&id=3989","911","18811"
"Radeon RX 5700 XT 50th Anniversary","8,030","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT+50th+Anniversary&id=4114","949","16603"
"Radeon RX 6650 XT","7,939","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6650+XT&id=4541","909","17300"
"Radeon RX 5700 XT","7,933","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT&id=4111","925","16639"
"Radeon RX 6600 XT","7,933","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600+XT&id=4444","914","16488"
"GeForce RTX 2070 SUPER","7,769","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+SUPER&id=4116","885","18252"
"GeForce RTX 3070 Ti Laptop GPU","7,721","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070+Ti+Laptop+GPU&id=4497","784","18101"
"Radeon VII","7,655","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+VII&id=4050","786","16694"
"Radeon PRO W6600","7,650","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W6600&id=4445","1019","15820"
"GeForce GTX 1080","7,630","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080&id=3502","890","15535"
"Radeon Pro Vega II","7,598","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Vega+II&id=4189","748","15597"
"RTX A5500 Laptop GPU","7,565","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5500+Laptop+GPU&id=4562","717","17477"
"GeForce RTX 3080 Laptop GPU","7,485","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Laptop+GPU&id=4332","642","16482"
"Quadro GP100","7,404","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+GP100&id=3721","847","16374"
"RTX 3500 Ada Generation Laptop GPU","7,211","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+3500+Ada+Generation+Laptop+GPU&id=4800","662","19579"
"GeForce GTX 1070 Ti","7,204","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070+Ti&id=3842","875","14690"
"RTX A5000 Laptop GPU","7,160","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5000+Laptop+GPU&id=4416","609","15985"
"RTX A4500 Laptop GPU","7,092","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4500+Laptop+GPU&id=4565","731","17594"
"Quadro RTX 5000","7,081","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+5000&id=4040","743","15981"
"Radeon VII","7,037","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+VII&id=4050","786","16694"
"GeForce RTX 3070 Laptop GPU","6,989","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070+Laptop+GPU&id=4331","650","15499"
