"","GPU","Score","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice"
"66","Radeon Pro WX 8200","5,890","2018-09-30","1599.39","2018-09-30","1599.39"
"67","GeForce RTX 3060 Laptop GPU","5,816","2021-03-31","309.99","2021-03-31","309.99"
"68","Radeon Vega Frontier Edition","5,794","2017-06-30","1679.99","2017-06-30","1679.99"
"69","GeForce GTX TITAN X","5,787","2015-03-28","999.99","2022-03-30","1,098.98"
"70","Radeon RX 6600M","5,776","2021-12-12","549.99","2024-01-09","219.99"
"71","Intel Arc A750","5,674","2023-01-21","332.55","2024-02-15","209.99"
"72","GeForce RTX 2060","5,594","2019-01-19","349.99","2023-09-27","209.99"
"73","Quadro M6000","5,556","2015-04-11","4,999","2021-12-24","1,388.49"
"74","Radeon RX 6700M","5,415","2022-09-03","369.99","2024-01-21","299.99"
"75","GeForce GTX 1660 Ti","5,324","2019-02-26","279.99","2024-03-25","328.72"
"76","Radeon Pro Duo","5,222","2016-09-23","1,353.44","2023-06-10","3,970.36"
"77","Radeon Pro W5500","5,222","2020-04-02","399.99","2022-12-14","409.99"
"78","GeForce GTX 1660 SUPER","5,179","2019-12-11","249.99","2023-09-14","199.99"
"79","GeForce GTX 1660","5,054","2019-04-13","219.99","2024-03-26","282.05"
"80","Quadro P4000","5,011","2017-04-04","983.16","2021-11-20","1,078.91"
"81","GeForce GTX 980","4,804","2014-11-12","599.99","2022-04-10","247.47"
"82","GeForce RTX 2080 with Max-Q Design","4,751","2019-03-31","2099.99","2019-03-31","2099.99"
"83","Radeon RX 6500 XT","4,723","2022-02-14","279.99","2024-01-09","159.99"
"84","Radeon RX 5500 XT","4,673","2019-12-30","219.99","2024-02-19","163.16"
"85","GeForce GTX 1650 SUPER","4,517","2019-12-28","164.99","2024-03-26","298.09"
"86","Quadro P2200","4,476","2019-09-14","475.99","2022-04-15","577.17"
"87","Radeon R9 Fury + Fury X","4,355","2015-08-25","539.99","2021-08-28","479.99"
"88","GeForce GTX 1060","4,300","2016-08-19","249.99","2021-12-24","578.6"
"89","GeForce GTX 1060 5GB","4,181","2018-06-30","487.99","2018-06-30","487.99"
"90","GeForce GTX Titan","4,127","2013-03-18","1,019.99","2021-05-13","740"
"91","GeForce GTX 1060 3GB","4,114","2016-09-12","199.99","2022-06-12","269.99"
"92","GeForce GTX 780 Ti","4,111","2013-11-21","699.99","2021-05-13","389"
"93","GeForce GTX 970","4,092","2014-09-27","329.99","2021-07-03","293.75"
"94","Radeon RX 590","4,044","2019-01-06","259.99","2022-03-29","209.99"
"95","Quadro M5000","4,027","2015-11-25","1,999","2021-08-28","667.66"
"96","Radeon RX 470/570","3,852","2016-09-18","194.99","2022-03-30","364.99"
"97","GeForce RTX 3050 Laptop GPU","3,819","2022-02-19","399.99","2022-10-25","284.99"
"98","GeForce GTX TITAN Black","3,800","2014-05-28","1,203.46","2021-05-13","735"
"99","Quadro T2000","3,736","2019-09-30","528.35","2019-09-30","528.35"
"100","Quadro P2000","3,673","2017-04-14","444.96","2022-11-20","459.99"
"101","Radeon RX 580","3,649","2017-06-14","629.99","2022-05-25","364.01"
"102","Radeon RX 480","3,584","2016-08-11","299.99","2021-08-28","389"
"103","GeForce GTX TITAN Z","3,419","2014-12-09","1,589.91","2021-07-03","1,510"
"104","Quadro M5000M","3,397","2016-03-31","546.92","2016-03-31","546.92"
"105","Quadro K6000","3,364","2013-10-06","4,999","2021-06-29","250.46"
"106","GeForce GTX 780","3,329","2013-07-10","786.44","2021-05-13","450"
"107","Radeon R9 290X / 390X","3,300","2014-01-04","619.99","2021-05-13","579"
"108","Radeon R9 295X2","3,278","2014-06-30","499.1","2014-06-30","499.1"
"109","Quadro T1000","3,274","2021-09-05","429.99","2023-09-23","378.99"
"110","Radeon Pro WX 7100","3,207","2016-12-11","628.99","2021-11-20","1,173"
"111","Radeon HD 7970 / R9 280X","3,168","2012-09-30","246.99","2012-09-30","246.99"
"112","Radeon R9 290 / 390","3,137","2014-01-02","499.99","2021-05-14","459"
"113","GeForce GTX 1650","3,086","2019-04-28","149.99","2023-08-20","137.76"
"114","FirePro W9100","3,051","2014-12-31","1729.99","2014-12-31","1729.99"
"115","Radeon RX 6400","2,993","2022-05-03","159.99","2024-02-10","168.41"
"116","Radeon HD 7990","2,939","2013-06-30","399.99","2013-06-30","399.99"
"117","Intel Arc A380","2,924","2022-09-30","124.99","2022-09-30","124.99"
"118","GeForce GTX 970M","2,827","2016-04-25","1,999.99","2020-03-10","209.99"
"119","GeForce GTX 960","2,807","2015-03-26","194.99","2021-11-20","172"
"120","GeForce GTX 980M","2,796","2014-12-31","289.99","2014-12-31","289.99"
"121","GeForce GTX 770","2,754","2013-06-02","399.99","2022-03-30","249"
"122","Radeon HD 7950 / R9 280","2,725","2012-06-30","132.2","2012-06-30","132.2"
"123","Quadro M4000","2,679","2015-10-06","889","2021-05-25","479"
"124","GeForce GTX 1050 Ti","2,642","2016-12-21","137.99","2024-03-03","278.56"
"125","GeForce GTX 680","2,623","2012-03-30","499.99","2021-05-16","159.99"
"126","Quadro K5200","2,603","2014-09-10","1,999","2022-04-10","499"
"127","FirePro W7100","2,600","2015-07-10","619.99","2022-03-30","398.57"
"128","Radeon R9 270X","2,593","2013-12-28","199.99","2021-05-13","199"
"129","FirePro W8100","2,588","2014-09-30","704","2014-09-30","704"
"130","GeForce GTX 690","2,524","2012-07-15","1,199.99","2021-05-13","649"
"131","Quadro P1000","2,490","2017-04-15","330","2022-08-12","335"
"132","Radeon R9 380X","2,448","2016-03-10","249.99","2021-05-13","823.24"
"133","Radeon R9 285 / 380","2,447","2015-03-31","485","2015-03-31","485"
"134","GeForce GTX 760","2,431","2013-08-15","316.99","2021-05-13","209.99"
"135","GRID K2","2,400","2013-11-04","4,900","2022-11-13","4,449.99"
"136","GeForce GTX 670","2,396","2012-05-19","399.99","2021-06-10","99"
"137","Quadro M4000M","2,376","2015-09-30","254.91","2015-09-30","254.91"
"138","Radeon Pro WX 4150","2,375","2021-10-10","635.49","2022-06-01","610.04"
"139","GeForce GTX 760 Ti","2,335","2014-03-31","297.5","2014-03-31","297.5"
"140","Quadro M2200","2,311","2017-06-30","249.99","2017-06-30","249.99"
"141","Radeon R9 380","2,304","2016-05-26","264.99","2020-03-14","399"
"142","GeForce GTX 660 Ti","2,284","2012-08-27","1,439.99","2022-03-30","144"
"143","GeForce GTX 950","2,264","2015-08-24","159.99","2022-03-30","141.99"
"144","Radeon R9 270 / R7 370","2,228","2013-12-31","213.16","2013-12-31","213.16"
"145","FirePro S7000","2,224","2014-03-31","246.54","2014-03-31","246.54"
"146","Radeon R9 370","2,206","2016-06-30","159.99","2016-06-30","159.99"
"147","Radeon Pro WX 5100","2,201","2016-12-18","339","2022-03-30","561.87"
"148","FirePro W8000","2,160","2013-03-31","573","2013-03-31","573"
"149","FirePro W9000","2,153","2012-12-31","845","2012-12-31","845"
"150","Quadro M3000M","2,124","2015-12-31","159.95","2015-12-31","159.95"
"151","Radeon HD 7870","2,117","2012-06-03","339.99","2021-05-13","499"
"152","GeForce GTX 1050","2,090","2016-12-16","109.99","2023-01-07","198.16"
"153","Quadro K5100M","2,072","2014-03-31","1108.84","2014-03-31","1108.84"
"154","GeForce GTX 480","2,059","2011-05-28","383.01","2020-03-14","579"
"155","Radeon R9 M295X","2,057","2014-12-31","1449","2014-12-31","1449"
"156","FirePro W7000","1,942","2012-10-30","769.99","2021-05-25","389"
"157","GRID K520","1,940","2020-03-10","749.95","2021-12-17","149.99"
"158","GeForce GTX 580","1,897","2011-03-17","519.99","2021-05-13","279.99"
"159","Radeon HD 8970M","1,892","2014-06-30","139.99","2014-06-30","139.99"
"160","Quadro P600","1,857","2017-05-31","189.34","2023-08-26","220.46"
"161","Quadro M2000M","1,841","2019-02-22","279.95","2022-03-30","241.01"
"162","Quadro M2000","1,828","2016-07-09","422.95","2021-07-03","220.42"
"163","GeForce GTX 660","1,820","2012-11-20","229.98","2022-03-30","167.95"
"164","Quadro K4200","1,799","2014-09-21","835.99","2021-12-18","250"
"165","GeForce GTX 680M","1,782","2016-03-14","499.99","2020-03-10","135.99"
"166","GeForce GTX 750 Ti","1,763","2014-04-17","139.99","2021-08-28","118.61"
"167","GeForce GTX 780M","1,740","2013-06-30","499","2013-06-30","499"
"168","Quadro K5000","1,732","2013-01-17","1,750","2021-12-18","250"
"169","Radeon RX 460","1,694","2016-09-11","116.95","2021-08-28","592"
"170","Radeon HD 7850","1,683","2012-06-03","239.99","2021-05-16","159.99"
"171","Quadro K2200","1,590","2014-11-07","479.13","2021-08-28","284.82"
"172","Radeon Pro WX 4100","1,577","2017-03-05","284","2021-07-03","449.99"
"173","GeForce GTX 750","1,575","2014-04-28","118.91","2021-07-03","531"
"174","Quadro K4100M","1,575","2013-12-31","261.29","2013-12-31","261.29"
"175","Radeon HD 7790","1,571","2013-05-01","149.98","2020-03-10","180.32"
"176","Quadro P620","1,565","2018-07-28","178.51","2023-02-18","708.83"
"177","Quadro M1000M","1,544","2016-11-23","200","2019-12-14","85.99"
"178","GeForce GTX 860M","1,520","2014-06-30","114","2014-06-30","114"
"179","Radeon RX 560","1,485","2017-06-30","109.99","2024-03-07","189.55"
"180","GeForce 8800 GTX","1,471","2012-09-30","119.99","2012-09-30","119.99"
"181","Radeon R7 260X","1,448","2013-12-21","145.68","2020-03-10","132.28"
"182","Tesla C2070","1,437","2011-03-31","604","2011-03-31","604"
"183","GeForce GTX 960M","1,436","2015-06-30","1169","2015-06-30","1169"
"184","FirePro 3D V8800","1,427","2010-09-30","424.99","2010-09-30","424.99"
"185","GeForce GTX 570","1,413","2011-03-10","349.99","2021-11-20","149.99"
"186","Quadro K5000M","1,404","2012-09-30","508.91","2012-09-30","508.91"
"187","Radeon RX Vega 11","1,389","2018-03-31","1002","2018-03-31","1002"
"188","GeForce GTX 590","1,384","2011-04-02","788.3","2021-06-10","295"
"189","FirePro 3D V9800","1,375","2011-06-30","2499","2011-06-30","2499"
"190","Radeon R7 260","1,361","2014-09-30","89.99","2014-09-30","89.99"
"191","Radeon R9 360","1,329","2015-12-31","133.89","2015-12-31","133.89"
"192","GeForce GTX 650 Ti","1,323","2013-01-05","155.79","2022-03-30","93.05"
"193","FirePro W5000","1,320","2012-12-31","184","2012-12-31","184"
"194","Radeon R7 360","1,297","2016-01-20","99.99","2021-11-20","145.99"
"195","GeForce GTX 950M","1,288","2015-03-31","567","2015-03-31","567"
"196","FirePro W5100","1,258","2015-01-23","359.99","2022-03-30","140.99"
"197","GeForce GT 1030","1,257","2017-07-13","67.99","2023-08-01","105.59"
"198","Radeon HD 6990","1,255","2011-04-02","712.99","2021-07-03","508.49"
"199","GeForce MX150","1,246","2017-09-30","59.29","2017-09-30","59.29"
"200","GeForce GTX 560 Ti","1,245","2011-03-17","244.99","2021-05-13","129.99"
"201","GeForce GTX 770M","1,244","2013-06-30","138","2013-06-30","138"
"202","Radeon HD 5970","1,231","2011-03-08","909.99","2021-05-13","525"
"203","Quadro K1200","1,207","2015-07-01","299","2022-06-16","319.95"
"204","Quadro K3100M","1,204","2014-12-20","831","2019-10-02","399.95"
"205","Quadro K620","1,198","2014-09-23","169.99","2020-03-16","138.83"
"206","FirePro W4100","1,187","2014-12-31","184","2014-12-31","184"
"207","Radeon HD 7770","1,178","2012-05-13","129.99","2021-05-13","139"
"208","Quadro K4000M","1,171","2019-07-22","599.99","2021-12-17","254"
"209","Quadro M600M","1,170","2015-12-31","251.99","2015-12-31","251.99"
"210","Quadro K4000","1,138","2013-05-17","798.04","2021-11-20","255.93"
"211","FirePro W4300","1,138","2016-02-04","299","2017-10-01","249.99"
"212","GeForce GTX 460","1,120","2011-05-25","149.99","2021-05-13","69.22"
"213","Radeon HD 6970","1,104","2011-06-02","329.99","2021-05-13","399"
"214","FirePro M6000","1,098","2012-12-31","325.99","2012-12-31","325.99"
"215","FirePro 3D V7800","1,091","2010-09-30","599.99","2010-09-30","599.99"
"216","GeForce GTX 470","1,081","2011-05-19","301.97","2021-05-27","109.99"
"217","Radeon HD 5870","1,081","2011-05-18","749.99","2021-05-13","119.99"
"218","Quadro 6000","1,075","2011-03-19","3,999.99","2022-03-30","270"
"219","GeForce GTX 765M","1,065","2013-06-30","186.3","2013-06-30","186.3"
"220","GeForce GTX 460 v2","1,062","2011-12-31","199.99","2011-12-31","199.99"
"221","Radeon HD 6870","1,060","2011-03-17","209.99","2021-05-13","109.99"
"222","GeForce GTX 560","1,048","2011-08-10","189.99","2021-05-16","59.99"
"223","Radeon RX 550","1,031","2017-07-21","89.99","2023-11-19","199.99"
"224","Radeon Pro WX 3200","1,026","2020-04-28","189.99","2023-10-06","224.1"
"225","GeForce GTX 580M","1,021","2011-09-30","248.68","2011-09-30","248.68"
"226","Radeon HD 6950","1,002","2011-05-25","239.99","2021-05-13","310"
"227","GeForce GTX 745","997","2014-03-31","284.95","2014-03-31","284.95"
"228","Radeon HD 5850","946","2011-05-26","184.99","2021-06-06","109.99"
"229","GeForce GTX 465","921","2011-05-18","209.99","2021-05-13","195"
"230","Radeon R9 350","905","2016-11-16","134.36","2021-05-13","299"
"231","GeForce GTX 560 SE","895","2012-11-04","122.99","2013-07-11","89.99"
"232","Radeon Vega 8","881","2018-03-31","126.86","2018-03-31","126.86"
"233","Quadro K3000M","878","2012-12-31","407.56","2012-12-31","407.56"
"234","Quadro 5010M","877","2011-12-31","235.95","2011-12-31","235.95"
"235","Quadro K2100M","874","2014-09-17","2,099","2020-03-16","550"
"236","Radeon HD 5830","872","2011-05-15","109.99","2021-05-13","89.99"
"237","GeForce GTX 660M","858","2012-06-30","78.99","2012-06-30","78.99"
"238","GeForce GT 740","846","2014-07-24","88.99","2021-05-13","259"
"239","Radeon R7 450","843","2018-02-28","49.99","2022-03-30","299"
"240","Radeon HD 7750","843","2012-06-23","99.99","2024-03-16","129.94"
"241","GeForce GTX 650","843","2012-11-29","118.78","2021-05-13","299"
"242","FirePro V7900","824","2011-10-27","699.99","2021-12-18","191"
"243","FirePro 3D V5800","802","2010-12-31","204","2010-12-31","204"
"244","Radeon HD 6850","796","2011-05-25","166.99","2021-05-13","225"
"245","GeForce GTX 460 SE","789","2011-03-10","149.99","2012-01-15","159.99"
"246","FirePro W600","787","2013-03-31","414.99","2013-03-31","414.99"
"247","Quadro P400","763","2017-10-01","126.36","2021-08-28","214.17"
"248","Radeon R9 255","760","2017-06-25","316","2019-01-24","347.07"
"249","FirePro M4000","747","2012-09-30","72.83","2012-09-30","72.83"
"250","FirePro W2100","747","2014-09-25","129.99","2021-08-28","59"
"251","Quadro 5000","741","2011-03-08","1,779.99","2022-12-20","2,363.72"
"252","Quadro K2000D","730","2013-06-19","423.51","2021-12-17","339.99"
"253","GeForce GTX 550 Ti","722","2011-06-13","139.99","2020-03-10","225"
"254","Radeon R9 M370X","718","2015-09-30","889","2015-09-30","889"
"255","Radeon HD 6790","700","2011-06-30","294","2011-06-30","294"
"256","Quadro K2000","696","2013-05-21","423.51","2021-12-17","447.79"
"257","Quadro K2000M","687","2016-06-15","249.9","2019-06-09","144.04"
"258","Quadro K1100M","683","2014-08-31","1,899","2021-05-13","322.99"
"259","Radeon HD 5770","663","2011-05-22","119.99","2020-03-15","369.22"
"260","GeForce GT 240","638","2011-05-27","70.37","2021-05-13","195"
"261","GeForce GT 640","632","2012-08-09","107","2021-07-03","363"
"262","Radeon HD 6770","631","2011-11-14","109.99","2021-11-20","99.99"
"263","GeForce GTS 450","626","2011-05-22","114.99","2021-08-30","199"
"264","Radeon HD 7730","620","2015-04-10","54.99","2021-06-10","232.69"
"265","Radeon R7 250","614","2014-02-25","97","2021-05-14","119.99"
"266","Radeon HD 4650","607","2011-05-25","46.99","2022-03-30","69.99"
"267","GeForce GT 710","594","2016-03-20","29.99","2023-03-06","349"
"268","Quadro 4000","575","2010-09-30","1008.09","2010-09-30","1008.09"
"269","Quadro K610M","569","2014-09-30","240","2014-09-30","240"
"270","Quadro 4000M","559","2016-12-31","149.99","2021-09-09","209.03"
"271","Radeon HD 8570","556","2013-09-30","98.68","2013-09-30","98.68"
"272","GeForce GT 640M LE","546","2012-09-30","849.99","2012-09-30","849.99"
"273","GeForce GT 720","544","2014-10-07","47.99","2020-03-13","66.99"
"274","Radeon HD 5750","531","2011-05-25","107.99","2021-05-13","79.99"
"275","GeForce 210","517","2011-07-10","34.99","2023-02-10","54.99"
"276","GeForce GT 730","515","2014-09-11","56.99","2022-11-20","109.99"
"277","Quadro 2000","506","2011-04-11","506.99","2021-05-13","217.5"
"278","Radeon HD 6750","489","2011-11-09","84.99","2021-05-13","235"
"279","Radeon R7 240","488","2014-01-01","78.05","2021-05-13","188.42"
"280","Quadro K420","476","2014-12-02","129.61","2020-03-10","188.32"
"281","GeForce GT 555M","462","2011-03-31","177.2","2011-03-31","177.2"
"282","Quadro K1000M","454","2016-08-07","247.5","2020-03-13","69.95"
"283","Radeon R5 330","452","2016-10-20","576.48","2020-03-10","348.99"
"284","Radeon R5 240","447","2015-12-29","79.99","2021-05-13","85"
"285","Radeon HD 6570","444","2011-07-14","74.99","2023-02-22","64.99"
"286","FirePro V4900","444","2012-05-28","153.99","2021-05-25","59"
"287","GeForce GT 540M","421","2012-09-30","87.95","2012-09-30","87.95"
"288","FirePro V5900","420","2011-10-27","429.99","2021-05-25","99"
"289","GRID K1","419","2013-12-16","2,775","2019-07-26","954.22"
"290","Quadro 3000M","418","2015-01-31","285","2019-08-22","75.99"
"291","Quadro 2000M","410","2014-10-08","199.95","2021-05-13","229.74"
"292","Radeon HD 6670","395","2011-07-28","79.99","2021-05-13","132"
"293","Radeon R7 M260","368","2015-09-16","999","2016-05-24","799"
"294","Radeon HD 7670M","367","2012-12-11","593.99","2013-08-24","599.99"
"295","GeForce GT 630","362","2012-09-08","64.99","2021-05-13","175"
"296","FirePro 3D V4800","360","2011-03-08","159.99","2012-11-02","159.99"
"297","GeForce GT 440","356","2011-05-25","79.99","2021-05-25","225"
"298","FirePro V3900","350","2012-10-27","119.99","2021-05-25","50.21"
"299","Radeon HD 5670","349","2011-05-25","71.99","2021-12-17","59.99"
"300","NVS 4200M","344","2012-09-30","399","2012-09-30","399"
"301","Radeon HD 7570","341","2020-03-16","51.41","2021-05-13","55.99"
"302","Quadro K600","341","2013-05-21","166.99","2020-03-14","34.99"
"303","FirePro 3D V3800","327","2010-09-30","149.99","2010-09-30","149.99"
"304","NVS 510","321","2013-02-20","357.21","2023-10-15","143.26"
"305","GeForce GT 530","310","2012-09-05","58.95","2014-02-12","49"
"306","GeForce GT 430","297","2011-05-25","64.99","2021-05-13","175"
"307","Quadro 600","292","2011-03-08","169.99","2021-05-13","76"
"308","Quadro 1000M","282","2014-03-07","171.88","2019-01-29","859"
"309","Quadro 410","277","2012-12-01","115.99","2019-05-08","159"
"310","Radeon HD 5570","275","2012-09-30","178.99","2012-09-30","178.99"
"311","Quadro 500M","263","2013-06-30","275.14","2013-06-30","275.14"
"312","Radeon HD 5550","219","2010-06-30","54.99","2010-06-30","54.99"
"313","GeForce GT 620","209","2012-06-30","154","2012-06-30","154"
"314","NVS 315","204","2014-03-31","69.99","2014-03-31","69.99"
"315","Radeon HD 8490","187","2014-03-31","89.99","2014-03-31","89.99"
"316","Radeon HD 7470","183","2012-06-30","81.37","2012-06-30","81.37"
"317","GeForce GTS 250","181","2012-09-30","69.99","2012-09-30","69.99"
"318","GeForce GT 520M","178","2012-09-30","29.95","2012-09-30","29.95"
"319","GeForce GT 520","177","2011-06-30","304","2011-06-30","304"
"320","GeForce GT 420","177","2010-12-31","155","2010-12-31","155"
